id,name,formatted_address,lat,lng,types,rating,user_rating_count
ChIJI1S-5kep0xQReyqGXjkqX8U,Hasan Bölükbaşı,"Sarıgöl, küme evleri, 06860 Haymana/Ankara, Türkiye",39.531387099999996,32.4815312,"[""housing_complex"", ""point_of_interest"", ""establishment""]",5,2
ChIJsSmy9KWp0xQReQcUBAiHRQ8,Sarıgül İlkokulu,"Sarıgöl, 06860 Haymana/Ankara, Türkiye",39.5277813,32.4804915,"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]",,
ChIJVeD9N5Sp0xQRXit5LfWgyOw,DOĞANLAR KONAĞI,"Sarıgöl, GFHH+7Q, 06860 Haymana/Ankara, Türkiye",39.5281443,32.4794,"[""apartment_building"", ""point_of_interest"", ""establishment""]",5,2
ChIJG16IZK-p0xQRrnb5pw5uoJg,Çelik Market,"Sarıgöl, 06860 Haymana/Ankara, Türkiye",39.5280139,32.4810377,"[""grocery_store"", ""food_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",2.7,3
ChIJ41afOQCp0xQRi06ETGOY1j4,Fevzi can öztürk,"Sarıgöl, GFHJ+6V, 06860 Haymana/Ankara, Türkiye",39.5280164,32.4821254,"[""apartment_building"", ""point_of_interest"", ""establishment""]",,
ChIJVSvISwCp0xQRB8I1Vfacr6k,ÖMER FARUK ÖZTÜRK,"Sarıgöl, 06860 Haymana/Ankara, Türkiye",39.528019199999996,32.4822019,"[""apartment_building"", ""point_of_interest"", ""establishment""]",,
ChIJc2q71iSp0xQRBHcpOCMpwy8,Nihat Özsoy,"Sarıgöl, küme evleri, 06860 Haymana/Ankara, Türkiye",39.532536,32.480309399999996,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",5,1
ChIJn8d0g-Gp0xQRnulkf4ParEo,YILMAZ AĞA KONAĞI,"Sarıgöl, Küme Evleri, 06860 Haymana/Ankara, Türkiye",39.531191299999996,32.483310599999996,"[""ranch"", ""farm"", ""point_of_interest"", ""establishment""]",,
ChIJ47JEJGqo0xQROfQz2pQ7b0U,Karaömer Köyü Cami,"Karaömerli, 06860 Haymana/Ankara, Türkiye",39.525103,32.5164398,"[""mosque"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.6,9
ChIJVVUVM2qo0xQRDYB4NZhFlsU,Karaömerli İöo,"Karaömerli, 06860 Haymana/Ankara, Türkiye",39.525099,32.5173845,"[""university"", ""point_of_interest"", ""establishment""]",5,1
ChIJpYfsb2qo0xQROKLKztn3tfs,Karaömer Köyü Mezarlığı,"Karaömerli, 06860 Haymana/Ankara, Türkiye",39.5277065,32.5162352,"[""cemetery"", ""point_of_interest"", ""establishment""]",4.5,2
ChIJI3GMwuCp0xQREczpTd-ewmY,Karaomerli sokaklar,"Karaömerli, 06860 Haymana/Ankara, Türkiye",39.5253683,32.516269,"[""general_contractor"", ""point_of_interest"", ""establishment""]",5,1
ChIJU_e76vSn0xQRAxfHBcgjPrY,Gavurkale Aniti,"Polatlı Yolu Temelli Bucağı 1. Km., Temelli, Polatlı, Ankara, Dereköy, 06860 Haymana/Ankara, Türkiye",39.531230699999995,32.558430699999995,"[""historical_place"", ""point_of_interest"", ""establishment""]",4.3,30
ChIJoStgJnKn0xQRiOAbsIaqJcE,Komagene Etsiz Çiğ Köfte,"Durali Alıç, Şehitler Cd. 103/D, 06860 Mamak/Ankara, Türkiye",39.534333,32.554152,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",5,1
ChIJEYzo2bGn0xQRRt4jx2KNj58,Kara Ahmet Eren Çiftliği,"gavur kale karşısı, Dereköy, 06860 Haymana/Ankara, Türkiye",39.5284361,32.5546184,"[""farm"", ""point_of_interest"", ""establishment""]",,
ChIJdcBwN5Sn0xQRwAEsxNdYeM0,Dereköy Mezarlığı,"Dereköy, 06860 Haymana/Ankara, Türkiye",39.5173972,32.563964299999995,"[""cemetery"", ""point_of_interest"", ""establishment""]",,
